		A	B	C	D	NEXTWEEKBAP	BAP	CON	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:5:7:TUCHENG_A_S	+886963536133	0	1	0	4	0	1	1	5	0	2	12	4	0	5	2	0
2016:1:5:7:TUCHENG_B_S	+886972576507	0	0	0	0	0	0	0	1	0	1	6	3	0	0	0	0
2016:1:5:7:TUCHENG_E	+886972576539	0	0	3	2	0	0	0	6	2	8	8	9	0	7	2	0
2016:1:5:7:WANDA_A_S	+886972576559	0	0	0	2	0	0	0	3	0	2	21	2	0	1	0	0
2016:1:5:7:WANDA_B_S	+886963932617	0	0	1	0	0	0	0	3	0	6	16	2	0	0	0	0
2016:1:5:7:WANDA_E	+886972576562	0	0	1	2	0	1	1	5	0	4	20	4	0	5	0	0
2016:1:5:7:XIANGSHAN_A	+886912576011	0	0	1	0	0	0	0	1	1	3	8	5	0	1	0	0
2016:1:5:7:XIANGSHAN_B	+886965073051	0	0	0	4	0	0	0	4	2	9	8	5	0	1	0	0
2016:1:5:7:XINAN_S	+886972576561	0	0	1	2	0	0	0	3	2	3	23	6	0	5	2	0
2016:1:5:7:XINBAN_E	+886972576506	0	1	1	4	0	0	0	6	1	11	10	1	0	2	0	0
2016:1:5:7:XINDIAN_E	+886972576548	0	0	0	3	0	0	0	3	2	6	10	5	0	5	2	0
2016:1:5:7:XINDIAN_S	+886972576518	0	0	1	3	0	0	0	4	2	10	15	9	0	6	1	0
2016:1:5:7:XINPU_E	+886972576504	0	0	1	3	0	0	0	4	4	8	8	2	0	3	0	0
2016:1:5:7:XINPU_S	+886965113871	0	0	3	3	0	1	1	10	2	8	18	6	0	6	2	0
2016:1:5:7:XINZHU_1_E	+886972576526	0	0	2	3	0	1	1	6	2	8	11	3	0	2	0	0
2016:1:5:7:XINZHU_1_S	+886972576569	0	0	3	1	0	0	0	7	4	8	13	6	0	6	2	0
2016:1:5:7:XINZHU_3_E	+886972576563	0	1	4	2	0	0	0	9	5	9	16	5	0	5	2	0
2016:1:5:7:XINZHU_3_S	+886963660292	0	0	1	4	0	0	0	7	1	10	21	7	0	1	3	0
2016:1:5:7:XIZHI_A_E	+886972576509	0	1	0	0	0	2	2	1	1	10	10	5	0	5	1	0
2016:1:5:7:XIZHI_B_E	+886972576156	0	0	0	3	0	0	0	4	3	7	17	5	0	1	0	0
2016:1:5:7:XIZHI_S	+886963873617	0	0	1	2	0	0	0	3	1	7	15	6	0	2	3	0
2016:1:5:7:YILAN_E	+886972576558	0	0	1	1	0	0	0	2	0	2	9	0	0	0	2	0
2016:1:5:7:YILAN_S	+886963917157	0	0	0	1	0	0	0	2	2	10	15	12	0	3	1	0
2016:1:5:7:YONGHE_S	+886972576513	0	0	6	3	0	0	0	15	4	11	20	6	0	6	3	0
2016:1:5:7:YULI_E	+886972576594	0	0	3	3	0	0	0	6	1	6	19	3	0	3	0	0
2016:1:5:7:YULI_S	+886972576538	0	0	1	2	0	0	0	3	0	1	17	3	0	6	1	0
2016:1:5:7:ZHONGHE_1_E	+886972576514	0	0	1	1	0	0	0	5	1	8	3	6	0	6	1	0
2016:1:5:7:ZHONGHE_2_E	+886972576511	0	0	1	5	0	0	0	6	2	6	15	4	0	2	1	0
2016:1:5:7:ZHONGHE_2_S	+886963535582	0	0	2	2	0	1	1	7	2	9	9	5	0	2	1	0
2016:1:5:7:ZHONGLI_1_E	+886972576568	0	0	2	3	0	0	0	11	2	5	7	1	0	6	1	0
2016:1:5:7:ZHONGLI_1_S	+886972576581	0	0	1	1	0	0	0	7	3	4	11	7	0	5	2	0
2016:1:5:7:ZHONGLI_2_E	+886972576584	0	0	0	2	0	0	0	4	0	4	8	1	0	1	0	0
2016:1:5:7:ZHUBEI_1_E	+886972576582	0	0	4	3	0	0	0	7	2	7	21	7	0	1	0	0
2016:1:5:7:ZHUBEI_1_S	+886972576540	0	1	0	2	0	0	0	3	0	6	9	2	0	8	0	0
2016:1:5:7:ZHUBEI_2_E	+886972576583	0	0	1	0	1	1	1	1	1	3	5	1	0	5	1	0
2016:1:5:7:ZHUBEI_2_S	+886972576574	0	0	2	2	1	0	0	4	2	5	3	1	0	2	0	0
2016:1:5:7:ZHUDONG_E	+886972576528	0	0	0	4	0	0	0	4	1	2	3	2	0	2	2	0
2016:1:5:7:ZHUDONG_S	+886912576094	1	0	2	2	0	0	0	5	2	10	3	1	0	8	6	1
2016:1:5:7:ZHUNAN_E	+886963761862	0	0	0	1	0	1	1	3	1	3	16	5	0	4	1	0
2016:1:5:7:ZHUNAN_S	+886972576155	0	0	1	5	0	0	0	7	3	7	9	1	0	4	0	0
2016:1:5:7:ZHUWEI_E	+886912576043	0	1	0	2	0	0	0	3	2	2	6	2	0	6	1	0
